size,path,array
10000,2434132,1254579943651198
10000,2446000,1191191753669006
10000,2483915,1142304763725874
10000,2429278,628511833643918
10000,2304412,1061195863456618
10000,2694599,1003310514041898
22500,7491588,60053109911237385
22500,7303571,57138400010955361
22500,8114758,54982617212172137
30625,11774717,103960178417662075
30625,11943269,118075314817914908
40000,20864662,197146392831296997
40000,20321163,188843634030481749
40000,17319891,194146018125979841
40000,18909045,158300727828363567
48400,24336933,246308789036505399
62500,36167551,483180131454251332
62500,39358152,457639240759037231
62500,33833855,456761058750750791
57600,31822231,357209379747733346
57600,29129456,178698503643694188
57600,33056024,376382122349584036
52900,26623370,308199114039935067
52900,26061955,348258918339092950
52900,28156025,347639493042234057
48400,26520019,294247502539780046
44100,19868727,220301998929803108
44100,20225655,229723104830338500
32400,14487048,127527683321730576
32400,15205933,125044637222808899
12100,2810210,1628788874215322
12100,3022224,1585150204533336
12100,2824291,1732234894236436
12100,3658836,1634265715488254
12100,3257231,1787342334885846
12100,3523259,1555346865284888
12100,2993477,1560502434490217
12100,3264123,1141548344896184
12100,2990062,1812762314485096
12100,3352357,1778163225028538
12100,2980753,1783718394471131
12100,2976210,1643993434464319
5625,923717,348224291385575
5625,1008429,268421941512646
5625,994294,308102651491441
5625,1003161,373629791504741
5625,1013083,145010581519627
5625,1087415,357983361631124
5625,1149112,355264871723668
5625,1091053,358019061636579
2500,299997,6152784449997
2500,383220,2458343574831
2500,328915,6792984493372
2500,340814,5874315511221
2500,352163,7621042528247
100,2002,3633003
100,3338,33935007
100,3262,13734893
100,2664,3703996
100,1744,2752616
100,1570,2462355
100,1936,4462904
225,11082,3313916624
225,8752,1670613128
225,8018,504112027
225,9827,3213414742
2025,228374,4949063342561
2025,268944,3156867403417
2025,291338,3589102437007
3600,574288,13235832861433
3600,615823,13292269923734
25600,9231903,43088255413847859
25600,9939433,77951358314909149
25600,9790330,63622192614685495
25600,9770612,80820687514655918
443556,629571689,243940347313944357533
